Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
02/04/2023,14:00,Spezia,Salernitana,0,1,1,1,,2.36,3.31,3.12,2.11,1.74
02/04/2023,17:00,Roma,Sampdoria,0,0,3,0,,1.44,4.39,8.26,2.05,1.79
02/04/2023,19:45,Napoli,Milan,0,2,0,4,,1.76,3.69,4.83,2.02,1.82
03/04/2023,17:30,Empoli,Lecce,0,0,1,0,,2.47,3.11,3.12,2.35,1.6
03/04/2023,19:45,Sassuolo,Torino,1,0,1,1,,2.46,3.27,2.99,2.1,1.75
07/04/2023,16:00,Salernitana,Inter,0,1,1,1,,7.42,4.67,1.44,1.72,2.14
07/04/2023,18:00,Lecce,Napoli,0,1,1,2,,5.78,3.67,1.68,2.18,1.69
07/04/2023,20:00,Milan,Empoli,0,0,0,0,,1.37,4.9,9.08,1.79,2.05
08/04/2023,11:30,Udinese,Monza,1,0,2,2,,2.09,3.43,3.66,2.0,1.83
08/04/2023,13:30,Fiorentina,Spezia,1,1,1,1,,1.42,4.68,7.97,1.79,2.04
08/04/2023,15:30,Atalanta,Bologna,0,0,0,2,,1.66,3.87,5.44,1.97,1.86
08/04/2023,15:30,Sampdoria,Cremonese,1,1,2,3,,2.35,3.28,3.18,2.17,1.7
08/04/2023,17:30,Torino,Roma,0,1,0,1,,3.38,3.02,2.39,2.67,1.47
08/04/2023,17:30,Verona,Sassuolo,0,1,2,1,,2.65,3.33,2.74,2.01,1.81
08/04/2023,19:45,Lazio,Juventus,1,1,2,1,,2.76,2.97,2.89,2.59,1.5
14/04/2023,17:30,Cremonese,Empoli,1,0,1,0,,2.51,3.27,2.94,2.05,1.78
14/04/2023,19:45,Spezia,Lazio,0,1,0,3,,5.15,3.62,1.74,2.15,1.71
15/04/2023,14:00,Bologna,Milan,1,1,1,1,,3.12,3.15,2.46,2.35,1.6
15/04/2023,17:00,Napoli,Verona,0,0,0,0,,1.53,4.09,6.76,1.98,1.84
15/04/2023,19:45,Inter,Monza,0,0,0,1,,1.44,4.52,7.69,1.8,2.04
16/04/2023,11:30,Lecce,Sampdoria,1,0,1,1,,1.96,3.26,4.36,2.4,1.58
16/04/2023,14:00,Torino,Salernitana,0,1,1,1,,1.74,3.56,5.28,2.25,1.65
16/04/2023,17:00,Sassuolo,Juventus,0,0,1,0,,3.72,3.46,2.04,2.03,1.8
16/04/2023,19:45,Roma,Udinese,1,0,3,0,,1.88,3.36,4.56,2.29,1.63
17/04/2023,19:45,Fiorentina,Atalanta,0,1,1,1,,2.39,3.47,2.93,1.84,1.98
21/04/2023,19:45,Verona,Bologna,1,0,2,1,,2.78,3.0,2.85,2.69,1.48
22/04/2023,14:00,Salernitana,Sassuolo,2,0,3,0,,3.11,3.5,2.28,1.85,1.97
22/04/2023,17:00,Lazio,Torino,0,1,0,1,,1.85,3.33,4.88,2.56,1.51
22/04/2023,19:45,Sampdoria,Spezia,1,0,1,1,,2.54,3.24,2.91,2.1,1.74
23/04/2023,11:30,Empoli,Inter,0,0,0,3,,6.34,4.32,1.52,1.78,2.05
23/04/2023,14:00,Monza,Fiorentina,2,2,3,2,,3.6,3.43,2.08,2.03,1.79
23/04/2023,14:00,Udinese,Cremonese,3,0,3,0,,1.72,3.85,4.8,1.85,1.97
23/04/2023,17:00,Milan,Lecce,1,0,2,0,,1.5,4.14,7.26,2.09,1.75
23/04/2023,19:45,Juventus,Napoli,0,0,0,1,,2.85,3.17,2.63,2.23,1.67
24/04/2023,19:45,Atalanta,Roma,1,0,3,1,,2.33,3.27,3.21,2.19,1.68
28/04/2023,17:30,Lecce,Udinese,0,0,1,0,,2.49,3.08,3.16,2.43,1.57
28/04/2023,19:45,Spezia,Monza,0,1,0,2,,2.83,3.23,2.63,2.12,1.73
29/04/2023,17:00,Roma,Milan,0,0,1,1,,2.78,3.03,2.81,2.45,1.56
29/04/2023,19:45,Torino,Atalanta,0,1,1,2,,2.95,3.3,2.48,2.07,1.77
30/04/2023,11:30,Inter,Lazio,0,1,3,1,,1.82,3.59,4.62,2.06,1.78
30/04/2023,14:00,Cremonese,Verona,1,0,1,1,,3.06,3.27,2.42,2.23,1.66
30/04/2023,14:00,Napoli,Salernitana,0,0,1,1,,1.22,6.51,14.36,1.61,2.32
30/04/2023,14:00,Sassuolo,Empoli,0,1,2,1,,1.76,3.91,4.51,1.75,2.09
30/04/2023,17:00,Fiorentina,Sampdoria,1,0,5,0,,1.32,5.44,9.75,1.62,2.31
30/04/2023,19:45,Bologna,Juventus,1,0,1,1,,3.5,3.2,2.22,2.41,1.57
03/05/2023,17:00,Atalanta,Spezia,1,1,3,2,,1.39,4.99,8.11,1.66,2.25
03/05/2023,17:00,Juventus,Lecce,2,1,2,1,,1.59,3.81,6.58,2.24,1.66
03/05/2023,17:00,Salernitana,Fiorentina,1,1,3,3,,4.62,3.79,1.77,1.88,1.94
03/05/2023,17:00,Sampdoria,Torino,0,1,0,2,,4.38,3.43,1.91,2.24,1.66
03/05/2023,20:00,Lazio,Sassuolo,1,0,2,0,,1.68,4.0,5.09,1.84,1.99
03/05/2023,20:00,Milan,Cremonese,0,0,1,1,,1.31,5.33,10.92,1.82,2.0
03/05/2023,20:00,Monza,Roma,1,1,1,1,,3.65,3.18,2.19,2.45,1.56
03/05/2023,20:00,Verona,Inter,0,3,0,6,,5.41,3.78,1.69,2.08,1.77
04/05/2023,19:45,Empoli,Bologna,2,0,3,1,,2.99,3.17,2.53,2.26,1.65
04/05/2023,19:45,Udinese,Napoli,1,0,1,1,,4.71,3.78,1.76,1.89,1.93
06/05/2023,14:00,Milan,Lazio,2,0,2,0,,1.97,3.4,4.17,2.26,1.65
06/05/2023,17:00,Roma,Inter,0,1,0,2,,3.14,3.15,2.44,2.29,1.63
06/05/2023,19:45,Cremonese,Spezia,1,0,2,0,,2.35,3.38,3.08,2.02,1.8
07/05/2023,11:30,Atalanta,Juventus,0,0,0,2,,2.4,3.32,3.05,2.08,1.76
07/05/2023,14:00,Torino,Monza,0,0,1,1,,1.99,3.33,4.11,2.34,1.6
07/05/2023,17:00,Napoli,Fiorentina,0,0,1,0,,1.85,3.73,4.2,1.8,2.03
07/05/2023,19:45,Lecce,Verona,0,0,0,1,,2.2,3.12,3.67,2.48,1.55
08/05/2023,17:30,Empoli,Salernitana,1,0,2,1,,2.18,3.15,3.64,2.06,1.77
08/05/2023,17:30,Udinese,Sampdoria,2,0,2,0,,1.53,4.27,6.25,1.83,1.99
08/05/2023,19:45,Sassuolo,Bologna,1,1,1,1,,2.36,3.45,2.99,1.86,1.96
12/05/2023,19:45,Lazio,Lecce,1,1,2,2,,1.72,3.57,5.52,2.36,1.6
13/05/2023,14:00,Salernitana,Atalanta,0,0,1,0,,4.9,4.12,1.67,1.7,2.18
13/05/2023,17:00,Spezia,Milan,0,0,2,0,,4.17,3.5,1.93,1.98,1.84
13/05/2023,19:45,Inter,Sassuolo,1,0,4,2,,1.41,5.07,7.25,1.54,2.47
14/05/2023,11:30,Verona,Torino,0,1,0,1,,2.39,3.08,3.3,2.54,1.52
14/05/2023,14:00,Fiorentina,Udinese,1,0,2,0,,1.99,3.57,3.78,1.87,1.95
14/05/2023,14:00,Monza,Napoli,1,0,2,0,,4.85,3.83,1.73,1.88,1.93
14/05/2023,17:00,Bologna,Roma,0,0,0,0,,3.16,3.11,2.45,2.46,1.55
14/05/2023,19:45,Juventus,Cremonese,0,0,2,0,,1.37,4.94,8.92,1.78,2.05
15/05/2023,19:45,Sampdoria,Empoli,1,0,1,1,,3.22,3.45,2.24,1.94,1.88
19/05/2023,19:45,Sassuolo,Monza,1,0,1,2,,2.19,3.64,3.22,1.72,2.16
20/05/2023,14:00,Cremonese,Bologna,0,3,1,5,,2.96,3.41,2.43,2.03,1.81
20/05/2023,17:00,Atalanta,Verona,1,1,3,1,,1.56,4.2,5.99,1.83,2.0
20/05/2023,19:45,Milan,Sampdoria,3,1,5,1,,1.19,7.11,16.3,1.6,2.37
21/05/2023,11:30,Lecce,Spezia,0,0,0,0,,2.21,3.21,3.57,2.32,1.62
21/05/2023,14:00,Torino,Fiorentina,0,0,1,1,,2.01,3.4,3.98,2.2,1.69
21/05/2023,17:00,Napoli,Inter,0,0,3,1,,2.83,3.31,2.58,1.96,1.87
21/05/2023,19:45,Udinese,Lazio,0,0,0,1,,3.74,3.54,2.02,1.98,1.85
22/05/2023,17:30,Roma,Salernitana,0,1,2,2,,1.48,4.26,7.38,1.97,1.86
22/05/2023,19:45,Empoli,Juventus,2,0,4,1,,5.17,3.85,1.69,1.94,1.88
26/05/2023,19:45,Sampdoria,Sassuolo,1,2,2,2,,3.97,3.92,1.86,1.62,2.32
27/05/2023,14:00,Salernitana,Udinese,1,2,3,2,,2.72,3.46,2.54,1.82,2.01
27/05/2023,14:00,Spezia,Torino,0,1,0,4,,2.4,3.24,3.11,2.23,1.67
27/05/2023,17:00,Fiorentina,Roma,0,1,2,1,,2.07,3.4,3.71,2.19,1.69
27/05/2023,19:45,Inter,Atalanta,2,1,3,2,,1.85,3.81,4.08,1.72,2.14
28/05/2023,11:30,Verona,Empoli,0,0,1,1,,1.69,3.9,4.98,1.95,1.87
28/05/2023,14:00,Bologna,Napoli,0,1,2,2,,3.39,3.41,2.17,1.98,1.85
28/05/2023,14:00,Monza,Lecce,0,0,0,1,,2.48,3.19,3.0,2.31,1.62
28/05/2023,17:00,Lazio,Cremonese,2,0,3,2,,1.23,6.48,13.0,1.55,2.46
28/05/2023,19:45,Juventus,Milan,0,1,0,1,,2.36,3.37,3.06,2.11,1.75
02/06/2023,19:30,Sassuolo,Fiorentina,0,0,1,3,,2.56,3.77,2.58,1.47,2.67
03/06/2023,17:30,Torino,Inter,0,1,0,1,,2.36,3.38,3.06,1.97,1.86
03/06/2023,20:00,Cremonese,Salernitana,1,0,2,0,,2.64,3.66,2.54,1.59,2.39
03/06/2023,20:00,Empoli,Lazio,0,0,0,2,,3.41,3.66,2.08,1.71,2.17
04/06/2023,17:30,Napoli,Sampdoria,0,0,2,0,,1.19,7.41,13.98,1.37,3.11
04/06/2023,20:00,Atalanta,Monza,2,0,5,2,,1.59,4.39,5.19,1.54,2.48
04/06/2023,20:00,Lecce,Bologna,1,0,2,3,,2.76,3.37,2.58,1.93,1.88
04/06/2023,20:00,Milan,Verona,1,0,3,1,,1.79,3.75,4.5,1.91,1.92
04/06/2023,20:00,Roma,Spezia,1,1,2,1,,1.99,3.61,3.74,1.95,1.87
04/06/2023,20:00,Udinese,Juventus,0,0,0,1,,3.81,3.58,1.97,1.93,1.89
